ID,NameSubtext_lang,Description_lang,AuraDescription_lang
11356,"等级 4","给一件武器浸毒，效果持续1小时。
每次攻击都有$11356h%的几率令敌人中毒，在$11354d内对其造成${$11354m1*4+0.12*$AP}点自然伤害，对单一目标最多可以叠加5次。一旦叠加到5次，每一层致命药膏还会令敌人染上盗贼另一把武器上的药膏之毒。",
11359,"等级 1",每5秒从你身上驱散1个魔法、诅咒、中毒或疾病效果。持续30秒。,每5秒从你身上驱散1个魔法、诅咒、中毒或疾病效果。持续30秒。
11362,,将玩家传送到诺莫瑞根。,
11365,,将你传送回家。你现在的家是$z。,
11366,"等级 1",发射一枚巨大的火球，对目标造成$s1点火焰伤害，并在$d内造成总计$o2点额外的火焰伤害。,每$t2秒$s2点火焰伤害。
11367,"等级 2",使你的火焰法术造成爆击的几率提高$s1%。,
11368,"等级 3",使你的火焰法术造成爆击的几率提高$s1%。,
11371,"等级 1",使暗影抗性提高$s1点。如果敌人使用近战武器攻击施法者，他们有30%的几率受到诅咒，使得他们在$11374d内受到物理攻击时承受的伤害提高$11374s1点。阿尔萨斯的礼物的特殊效果持续$d。守护药剂。,暗影抗性提高$s1点，可能令攻击者受到诅咒。守护药剂。
11374,,承受的伤害提高$s1点，持续$d,受到的伤害提高$s1点。
11387,,恢复$s1点生命值和$s2点法力值。,
11389,,在微缩地图上显示附近所有亡灵的位置，持续$d。,正在侦测亡灵。
11390,,法术强度提高$s1点，持续$d。战斗药剂。,法术强度提高$s1点。战斗药剂。
11391,,,你感到有些异样。
11397,,对敌人造成普通武器伤害再加上$s1点额外伤害，使其力量降低$s2点，敏捷降低$s3点，持续$d。,"力量降低$s2点。
敏捷降低$s3点。"
11402,,摇响铃铛，将沙恩召回你的身边。,
11403,召唤,使你获得梦境视界，可以观察那些过于危险的区域。,在梦中视物。
11405,,使你的力量提高$s1点，持续$d。战斗药剂。,力量提高$s1点。战斗药剂。
11406,,使你对恶魔的攻击强度提高$s1点，持续$d。战斗药剂。,对恶魔的攻击强度提高$s1点。战斗药剂。
11407,,在微缩地图上显示附近所有恶魔的位置，持续$d。,正在侦测恶魔。
11412,,施法者进入灵体状态，对物理攻击免疫，但仍会受到魔法攻击。另外，术士无法攻击或施法，移动速度降低到普通速度的$s2%，持续$d。,免疫物理攻击。无法攻击或施法，移动速度降低到普通速度的$s2%。
11413,"等级 1",,对亡灵所造成的近战、远程和法术伤害提高$s1%。
11414,"等级 2",,对亡灵所造成的近战、远程和法术伤害提高$s1%。
11415,"等级 3",,对亡灵所造成的近战、远程和法术伤害提高$s1%。
11416,,制造一个传送门，将穿越它的队友传送到铁炉堡。,
11417,,制造一个传送门，将穿越它的队友传送到奥格瑞玛。,
11418,,制造一个传送门，将穿越它的队友传送到幽暗城。,
11419,,制造一个传送门，将穿越它的队友传送到达纳苏斯。,
11420,,制造一个传送门，将穿越它的队友传送到雷霆崖。,
11426,"等级 1",立即为你加上魔法护盾，吸收$s1点伤害，持续$d。只要护盾存在，受保护者的施法就不会被延迟。,吸收伤害。
11430,,击倒目标，对其造成物理伤害，并使其昏迷$d。,昏迷。
11431,,使用自然的力量治疗盟友。,
11433,,以枯萎凋零的力量攻击指定区域内的所有敌人，对它们造成暗影伤害，持续$d。,
11435,,在辛萨罗祭坛上使用以制造祖尔法拉克之槌。,
11436,,使一名敌人的攻击间隔提高$s1%，施法时间延长$s2%，并使其移动速度降低$s2%，持续$d。,移动速度降低$s1%。近战和远程攻击间隔延长$s2%。施法时间延长$s2%。
11438,,将上部、中部和下部地图碎片拼在一起。,
11441,,有一定几率在被近战武器击中时对攻击者施放枯萎之触。,
11442,,使一名敌人生病，每$t1秒造成暗影伤害，并且每$t2秒吸取法力值再转移给施法者，持续$d。,"每$t1秒受到$s1点暗影伤害。
每$t2秒吸取$s2点法力值。"
11443,,使敌人的攻击间隔延长$s2%，移动速度降低$s1%，此外还会使其力量降低$s3%，效果持续$d。,"移动速度降低$s1%。
攻击间隔延长$s2%。
力量降低$s3%。"
11444,,束缚敌对亡灵单位，最多持续$d。被束缚的亡灵无法移动、攻击或施法。任何对其造成伤害的行为都将解除束缚。一个牧师在同一时间内只能束缚一个目标。,昏迷。
11445,,白骨护甲环绕着施法者，可在$d内吸收最多$s1点伤害。只要骨甲仍然存在，施法就不会被物理攻击打断。,伤害被骨甲吸收。
11446,,控制一个最高等级为$s1的人型目标，持续$d，被控制的目标每5秒都有一定的几率逃脱。,被魅惑。
11469,"等级 4",,目标承受每$t1秒$s1点伤害。
11470,"等级 3",,目标承受每$t1秒$s1点伤害。
11471,"等级 2",,目标承受每$t1秒$s1点伤害。
11474,,暗影法术强度提高$s1点，持续$d。战斗药剂。,暗影法术强度提高$s1点。战斗药剂。
11479,,将一块铁锭变成金锭。,
11480,,将一块秘银锭变成真银锭。,
11504,,造成区域伤害。,
11513,,收集放射性的尘埃。,
11537,,在艾奎尼克斯石碑附近充能。,
11539,"等级 1",,目标承受每$t1秒$s1点伤害。
11540,,向空中发射一支可以绽放出无数蓝色星星的焰火。,
11541,,向空中发射一支可以绽放出无数绿色星星的焰火。,
11542,,向空中发射一支可以绽放出无数红色条纹的焰火。,
11543,,向空中发射一支可以绽放出无数红色、白色和蓝色星星的焰火。,
11544,,向空中发射一支可以绽放出黄色玫瑰的焰火。,
11547,,放置在枯木村中。,
11548,,在沙德拉洛祭坛上使用以召唤蜘蛛之神。,
11549,"等级 4",战士发出怒吼，使半径$a1码范围内的所有小队和团队成员的攻击强度提高$s1点，持续$d。,攻击强度提高$s1点。
11550,"等级 5",战士发出怒吼，使半径$a1码范围内的所有小队和团队成员的攻击强度提高$s1点，持续$d。,攻击强度提高$s1点。
11551,"等级 6",战士发出怒吼，使半径$a1码范围内的所有小队和团队成员的攻击强度提高$s1点，持续$d。,攻击强度提高$s1点。
11554,"等级 3",使半径$a1码范围内的敌人的近战攻击强度降低$s1点，持续$d。,近战攻击强度降低$s1点。
11555,"等级 4",使半径$a1码范围内的敌人的近战攻击强度降低$s1点，持续$d。,近战攻击强度降低$s1点。
11556,"等级 5",使半径$a1码范围内的敌人的近战攻击强度降低$s1点，持续$d。,近战攻击强度降低$s1点。
11564,"等级 5",强力的攻击，使近战攻击所造成的伤害提高$s1点，并造成大量的威胁。,
11565,"等级 6",强力的攻击，使近战攻击所造成的伤害提高$s1点，并造成大量的威胁。,
11566,"等级 7",强力的攻击，使近战攻击所造成的伤害提高$s1点，并造成大量的威胁。,
11567,"等级 8",强力的攻击，使近战攻击所造成的伤害提高$s1点，并造成大量的威胁。,
11572,"等级 5",使目标的伤口不断流血，在$d内造成持续伤害，总值为$o1点再加上${0.2*5*(($MWB+$mwb)/2+$AP/14*$MWS)}点（取决于武器伤害值）。,每$t1秒因流血受到$s1点伤害，外加武器伤害的一部分。
11573,"等级 6",使目标的伤口不断流血，在$d内造成持续伤害，总值为$o1点再加上${0.2*5*(($MWB+$mwb)/2+$AP/14*$MWS)}点（取决于武器伤害值）。,每$t1秒因流血受到$s1点伤害，外加武器伤害的一部分。
18699,"等级 3",使你的耐力总值提高$s1%。,
11574,"等级 7",使目标的伤口不断流血，在$d内造成持续伤害，总值为$o1点再加上${0.2*5*(($MWB+$mwb)/2+$AP/14*$MWS)}点（取决于武器伤害值）。,每$t1秒因流血受到$s1点伤害，外加武器伤害的一部分。
11578,"等级 3",向敌人冲锋，产生$/10;s2点怒气值，并使其昏迷$7922d。无法在战斗中使用。,
11580,"等级 5",以雷霆震击附近的敌人，使它们的攻击间隔延长$s2%，持续$d，并对它们造成$s1点伤害（此伤害值受到攻击强度加成影响）。这个技能可以造成额外的威胁值。,攻击间隔延长$s2%。
11581,"等级 6",以雷霆震击附近的敌人，使它们的攻击间隔延长$s2%，持续$d，并对它们造成$s1点伤害（此伤害值受到攻击强度加成影响）。这个技能可以造成额外的威胁值。,攻击间隔延长$s2%。
11584,"等级 3",立刻压制敌人，对其造成武器伤害外加$s1点伤害。只能在目标躲闪之后使用。压制无法被格档、躲闪或招架。,
11585,"等级 4",立刻压制敌人，对其造成武器伤害外加$s1点伤害。只能在目标躲闪之后使用。压制无法被格档、躲闪或招架。,
11596,"等级 4",击破目标的护甲，每次破甲攻击都会使其护甲值降低$s1点，同时造成大量的威胁值。更高的攻击强度可以造成更高的威胁值。最多可累加5次，持续$d。,护甲值降低$s1点。
11597,"等级 5",击破目标的护甲，每次破甲攻击都会使其护甲值降低$s1点，同时造成大量的威胁值。更高的攻击强度可以造成更高的威胁值。最多可累加5次，持续$d。,护甲值降低$s1点。
11600,"等级 4",立即反击敌人，对其造成${$m1+$AP*0.310}到${$M1+$AP*0.310}点伤害。复仇只有在战士成功格挡、躲闪或招架之后才能使用。,
11601,"等级 5",立即反击敌人，对其造成${$m1+$AP*0.310}到${$M1+$AP*0.310}点伤害。复仇只有在战士成功格挡、躲闪或招架之后才能使用。,
11604,"等级 3",猛击敌人，对其造成武器伤害再加上$s1点伤害。,
11605,"等级 4",猛击敌人，对其造成武器伤害再加上$s1点伤害。,
11608,"等级 3",横扫攻击，对目标和它身边$?s58366[两个最近的敌人][最近的一个敌人]造成武器伤害再加上$s1点伤害。,
11609,"等级 4",横扫攻击，对目标和它身边$?s58366[两个最近的敌人][最近的一个敌人]造成武器伤害再加上$s1点伤害。,
11610,,选定目标，轻松拍照！,
11611,专家级,使炼金师可以配制专家级的药水，技能上限为300点。,
11629,,烈性酒类饮料。,烂醉如泥。
11639,,黑暗的咒语，每$t1秒对敌人造成一次暗影伤害，持续$d。,每$t1秒受到一次暗影伤害。
11640,,治疗一个友方目标，每$t1秒回复一次生命值。持续$d。,每$t1秒恢复一次生命值。
11641,,将敌人变成一只青蛙，使其不能施法或攻击，持续$d。,被妖术变形。
11642,,使用神圣的力量治疗盟友。,
11647,,立即为施法者加上魔法护盾，可吸收$s1点物理伤害，持续$d。只要护盾存在，受保护者的施法就不会被物理攻击打断。,吸收物理和魔法伤害。
11649,,使玩家可以侦测隐形。,侦测隐形术。
11654,,将迦萨斯和桑萨斯组合成为神剑苏萨斯。,
11657,,吸收$s1点物理伤害，持续$d1。,吸收物理伤害。
11658,,以苏萨斯之怒攻击敌人，使其力量降低$s2点，造成$s1点暗影伤害，并在接下来的$d内对其造成总计$o3点额外伤害。,力量降低，每$t3秒$s3点暗影伤害。
11659,"等级 7",向目标射出一支暗影箭，对其造成$s1点暗影伤害。,
11660,"等级 8",向目标射出一支暗影箭，对其造成$s1点暗影伤害。,
11661,"等级 9",向目标射出一支暗影箭，对其造成$s1点暗影伤害。,
11665,"等级 5",灼烧敌人，对其造成$s2点火焰伤害，并在$d内造成额外的$o1点火焰伤害。,每$t1秒$s1点火焰伤害。
11667,"等级 6",灼烧敌人，对其造成$s2点火焰伤害，并在$d内造成额外的$o1点火焰伤害。,每$t1秒$s1点火焰伤害。
11668,"等级 7",灼烧敌人，对其造成$s2点火焰伤害，并在$d内造成额外的$o1点火焰伤害。,每$t1秒$s1点火焰伤害。
11671,"等级 5",腐蚀目标，在$d内造成累计$o1点暗影伤害。,每$t1秒$s1点暗影伤害。
11672,"等级 6",腐蚀目标，在$d内造成累计$o1点暗影伤害。,每$t1秒$s1点暗影伤害。
11675,"等级 4",吸取目标的灵魂，在$d内对其造成$o2点暗影伤害。如果目标的生命值不高于25%，则吸取灵魂技能造成四倍伤害。如果目标在被吸取灵魂的过程中死亡，且施法者因此获得经验值或荣誉，则施法者可以得到一块灵魂碎片。吸取灵魂每次对目标造成伤害时也有一定几率产生灵魂碎片。灵魂碎片是施放其它一些法术所必需的材料。,每$t2秒$s2点暗影伤害。
11677,"等级 3",召唤火焰之雨，在$11677d内对目标区域中的敌人造成${$42225m1*4}点火焰伤害。,每$42225t1秒$42225s1点火焰伤害。
11678,"等级 4",召唤火焰之雨，在$11678d内对目标区域中的敌人造成${$42226m1*4}点火焰伤害。,每$42226t1秒$42226s1点火焰伤害。
11681,"等级 2",烧灼施法者周围的区域，每$11683t2秒对施法者自己造成$11683s2点火焰伤害并对所有邻近的敌人造成$11681s1点火焰伤害，持续$11683d。,
11682,"等级 3",烧灼施法者周围的区域，每$11684t2秒对施法者自己造成$11684s2点火焰伤害并对所有邻近的敌人造成$11682s1点火焰伤害，持续$11684d。,
11683,"等级 2",点燃施法者身边的区域，对$g他:她;自身造成$11683s2点火焰伤害，并对周围的所有敌人每$11683t2秒造成$11681s1点火焰伤害。持续$11683d。,对自身和附近的所有敌人造成伤害。
11684,"等级 3",点燃施法者身边的区域，对$g他:她;自身造成$11684s2点火焰伤害，并对周围的所有敌人每$11684t2秒造成$11682s1点火焰伤害。持续$11684d。,对自身和附近的所有敌人造成伤害。
11687,"等级 4",将${$m1+$SPI*1.5}点生命值转化为${$m1*$<mult>+$SPS*.5*$<mult>}点法力值。法术强度会提高转化所得的法力值。,
11688,"等级 5",将${$m1+$SPI*1.5}点生命值转化为${$m1*$<mult>+$SPS*.5*$<mult>}点法力值。法术强度会提高转化所得的法力值。,
11689,"等级 6",将${$m1+$SPI*1.5}点生命值转化为${$m1*$<mult>+$SPS*.5*$<mult>}点法力值。法术强度会提高转化所得的法力值。,
11824,,立即向目标射出一支闪电箭，对其造成自然伤害。,
3465,,,
11693,"等级 5",只要施法者保持着引导法术的状态，就会每秒钟将$s1点生命值转移给施法者的宠物，最多持续$d。,正在转移生命值。
11694,"等级 6",只要施法者保持着引导法术的状态，就会每秒钟将$s1点生命值转移给施法者的宠物，最多持续$d。,正在转移生命值。
11695,"等级 7",只要施法者保持着引导法术的状态，就会每秒钟将$s1点生命值转移给施法者的宠物，最多持续$d。,正在转移生命值。
11699,"等级 5",每$t1秒吸取目标的$s1点生命值，并将其转移给施法者，持续$d。,每$t1秒吸取$s1点生命值并将其转移给施法者。
11700,"等级 6",每$t1秒吸取目标的$s1点生命值，并将其转移给施法者，持续$d。,每$t1秒吸取$s1点生命值并将其转移给施法者。
11707,"等级 5",目标的近战攻击强度降低$s1点，护甲值降低$s2%，持续$d。对于一个目标，每个术士只能施加一种诅咒。,近战攻击强度降低$s1点，护甲值降低$s2%。
11708,"等级 6",目标的近战攻击强度降低$s1点，护甲值降低$s2%，持续$d。对于一个目标，每个术士只能施加一种诅咒。,近战攻击强度降低$s1点，护甲值降低$s2%。
11711,"等级 4",给目标施加痛苦的诅咒，使其在$d内受到$o1点暗影伤害。这种伤害在初期会缓慢生效，但是会在作用效果期间不断加速，直到结束。对于一个目标，每个术士只能施加一种诅咒。,在$d内受到总计$o1点暗影伤害。
11712,"等级 5",给目标施加痛苦的诅咒，使其在$d内受到$o1点暗影伤害。这种伤害在初期会缓慢生效，但是会在作用效果期间不断加速，直到结束。对于一个目标，每个术士只能施加一种诅咒。,在$d内受到总计$o1点暗影伤害。
11713,"等级 6",给目标施加痛苦的诅咒，使其在$d内受到$o1点暗影伤害。这种伤害在初期会缓慢生效，但是会在作用效果期间不断加速，直到结束。对于一个目标，每个术士只能施加一种诅咒。,在$d内受到总计$o1点暗影伤害。
11719,"等级 2",强迫目标使用恶魔语，使其所有法术的施放时间延长$s1%，持续$d。对于一个目标，每个术士只能施加一种诅咒。,以恶魔语念出咒语，使施法时间延长$s1%。
11721,"等级 2",对目标施放诅咒，使其奥术、火焰、冰霜、自然和暗影抗性降低$s1点，受到的法术伤害提高$s2%，效果持续$d。对于一个目标，每个术士只能施加一种诅咒。,奥术、火焰、冰霜、自然和暗影抗性降低$s1点。受到的法术伤害提高$s2%。
11722,"等级 3",对目标施放诅咒，使其奥术、火焰、冰霜、自然和暗影抗性降低$s1点，受到的法术伤害提高$s2%，效果持续$d。对于一个目标，每个术士只能施加一种诅咒。,奥术、火焰、冰霜、自然和暗影抗性降低$s1点。受到的法术伤害提高$s2%。
11725,"等级 2",征服等级不高于$m1级的恶魔，使其听从你的命令。被征服的恶魔的攻击间隔延长$s2%，施法速度降低$s3%。征服效果最多持续$d。,被奴役。
11726,"等级 3",征服等级不高于$m1级的恶魔，使其听从你的命令。被征服的恶魔的攻击间隔延长$s2%，施法速度降低$s3%。征服效果最多持续$d。,被奴役。
11729,"等级 4","制造一块强效治疗石，使用后可以立刻恢复$5723s1点生命值。

如果持有该物品的玩家退出游戏超过15分钟，则该物品就会消失。",
11730,"等级 5","制造一块特效治疗石，使用后可以立刻恢复$11732s1点生命值。

如果持有该物品的玩家退出游戏超过15分钟，则该物品就会消失。",
11733,"等级 3",使施法者的护甲值提高$s1点，通过法术和效果恢复的生命值提高$s2%。术士在同一时间内只能激活一种护甲法术。持续$d。,护甲值提高$s1点，通过法术和效果恢复的生命值提高$s2%。
11734,"等级 4",使施法者的护甲值提高$s1点，通过法术和效果恢复的生命值提高$s2%。术士在同一时间内只能激活一种护甲法术。持续$d。,护甲值提高$s1点，通过法术和效果恢复的生命值提高$s2%。
11735,"等级 5",使施法者的护甲值提高$s1点，通过法术和效果恢复的生命值提高$s2%。术士在同一时间内只能激活一种护甲法术。持续$d。,护甲值提高$s1点，通过法术和效果恢复的生命值提高$s2%。
11739,"等级 2",吸收$s1点暗影伤害，持续$d。,吸收暗影伤害。
11740,"等级 3",吸收$s1点暗影伤害，持续$d。,吸收暗影伤害。
11757,,右键点击以挖掘戈杜尼钴矿。,
11758,,在流沙岗哨的水池中取水。,
11759,,检测该样本的质量，需要野外实验工具包。,
11762,"等级 6",对目标造成$s1点火焰伤害。,
11763,"等级 7",对目标造成$s1点火焰伤害。,
11766,"等级 4",使小队和团队成员的生命值提高$s1点。,生命值提高$s1点。
11767,"等级 5",使小队和团队成员的生命值提高$s1点。,生命值提高$s1点。
11770,"等级 4",使小队或团队中的友方目标被一面火焰护盾包围，任何使用近战武器击中被保护者的敌人都会受到$s1点火焰伤害。护盾持续$d。施法者不能对自己施放此法术。,对攻击者造成$s1点火焰伤害。
11771,"等级 5",使小队或团队中的友方目标被一面火焰护盾包围，任何使用近战武器击中被保护者的敌人都会受到$s1点火焰伤害。护盾持续$d。施法者不能对自己施放此法术。,对攻击者造成$s1点火焰伤害。
11774,"等级 5","嘲讽目标，使其有更高的几率转而攻击虚空行者。比折磨（等级 4）更有效。",
11775,"等级 6","嘲讽目标，使其有更高的几率转而攻击虚空行者。比折磨（等级 5）更有效。",
11778,"等级 4",鞭笞目标，对其造成$s1点暗影伤害。,
11779,"等级 5",鞭笞目标，对其造成$s1点暗影伤害。,
11780,"等级 6",鞭笞目标，对其造成$s1点暗影伤害。,
11784,"等级 3","安抚目标，使它更有可能转而攻击其它目标。比安抚之吻（等级 2）更有效。",
11785,"等级 4","安抚目标，使它更有可能转而攻击其它目标。比安抚之吻（等级 3）更有效。",
11789,,使你可以在水下呼吸。,水下呼吸。
11790,,每$t1秒对施法者身边半径$a1码范围内的敌人造成$s1点自然伤害，持续$d。,每$t1秒对敌人造成$s1点自然伤害。
11791,,使目标的护甲降低$s1点。,护甲降低$s1点。
11802,,在地面上放置一枚黑铁地雷。靠近地雷的敌对生物会引爆地雷，对附近的所有敌人造成$11815s1点伤害。这种地雷很不稳定，只能存在$d。,
4111,"等级 4",,
4134,,,
11826,,对施法者面前的所有敌人造成$11828s1点自然伤害。施法者被闪电护盾保护，持续10分钟。,引导闪电。
11829,,召唤一根火柱，灼烧指定区域内的所有敌人，并对它们每$t2秒造成一次额外伤害，持续$d。,每$t2秒受到一次火焰伤害。
11831,,对附近的敌人造成冰霜伤害并将其冻结在原地，冻结效果最多可持续$d。,无法行动。
11835,,立即为目标加上护盾，可吸收固定量的物理或魔法伤害，持续$d。只要护盾存在，受保护者的施法就不会被物理攻击打断。,吸收物理和魔法伤害。
11836,,使敌人昏迷并每$t1秒造成冰霜伤害，持续$d。,"昏迷。
每$t1秒造成$s1点冰霜伤害。"
11837,"等级 1",对施法者面前一个锥形区域中的敌人造成普通武器伤害再加上$s1点额外伤害。,
11840,,召唤艾丹娜·邪爪。,
11841,,闪电的能量笼罩着施法者，持续$d，对近战攻击者造成$s1点自然伤害。,对近战攻击者造成$s1点自然伤害。
11876,,对附近的敌人造成武器伤害再加$s3点伤害，将它们击退并使它们昏迷，持续$d。,昏迷。
11877,,捕捉一个堕落的树人。,
11879,,使目标在$d内无法使用武器作战。,被缴械。
11885,,捕捉树人的灵魂。,
11886,,捕捉死亡野兽的灵魂。,
11887,,捕捉角鹰兽的灵魂。,
11888,,捕捉精灵龙的灵魂。,
11889,,捕捉山岭巨人的灵魂。,
11892,,使附近敌人的力量降低$s1点，耐力降低$s2点，持续$d。,"力量降低$s1点。
耐力降低$s2点。"
11894,,召唤安图苏尔的仆从协助你作战。,
11898,,从附近的敌人身上吸取$s1点生命值，并使施法者恢复最多相当于该数值三倍的生命值。,
11900,,恢复附近战友的生命值。,
11922,,用根须将敌人缠住，每$t2秒对其造成一次自然伤害，并使其无法移动，最多持续$d。,"无法移动。
每$t2秒受到一次自然伤害。"
11923,,你必须重铸这把剑才能再次使用它。重铸需要耗费4块钢锭、4份强效助熔剂、2份元素火焰和2块重砂轮。,
11939,,召唤一个小鬼为术士作战。,
11958,,激活之后，使你的所有冰霜法术的冷却时间结束。,
11960,,诅咒目标，使其攻击强度降低$s1点，持续$d。,近战攻击强度降低$s1点。
11963,,使敌人的力量降低$s1点，耐力降低$s2点，持续$d。,"力量降低$s1点。
耐力降低$s2点。"
11971,,击破敌人的护甲，每次破甲可以使其护甲值降低。可叠加最多5次。持续$d。,护甲值降低。
11972,,使用盾牌攻击一名敌人，造成物理伤害并打断正在施放的法术。,
11974,,为盟友加上魔法护盾，可吸收伤害，持续$d。只要护盾存在，受保护者的施法就不会被物理攻击打断。,吸收伤害。
11975,,制造一次以施法者为中心的魔法爆炸，对附近的敌人造成奥术伤害。,
11976,,对敌人造成武器伤害再加一些额外伤害。,
11977,,每$t1秒对敌人造成一次物理伤害，持续$d。,每$t1秒受到一次物理伤害。
11978,,用脚快速踢敌人，打断施法，并使其在$d内无法施法。,
11980,,降低一名敌人造成的物理伤害，持续$d。一名术士对一个目标只能施加一个诅咒。,物理伤害能力降低$s1点。
11981,,向敌人射出一支可抽取法力值的箭，每抽取1点法力值，目标就受到$e1点伤害。,
11983,,对附近的敌人造成$s3点自然伤害，并使其攻击命中率降低$s1%，持续$d。,击中目标的几率降低$s1%。
11990,,召唤熔岩之雨灼烧敌人，对指定区域中的敌人每$t1秒造成火焰伤害，持续$d。,每$t1秒$s1点火焰伤害。
11992,,在微缩地图上显示附近的加兹瑞迪安饰物。,
11993,专家级,寻找并采集更高级的草药。使你的草药学技能上限提高到300点。,
11998,,对敌人造成额外的近战伤害。,
12001,,,"力量降低$s1点。
敏捷降低$s2点。
智力降低$s3点。"
12020,,在$t1秒后对附近的敌人造成$s1点暗影伤害。,$t1秒后受到$s1点暗影伤害。
12021,,使一名敌人凝视着施法者，施法者的攻击速度提高$s2%，持续$d。在施法者被目标凝视的期间内，施法者会很不愿意攻击其他的目标。,你被注视了。
12022,,使半径$a1码范围内的小队成员的耐力提高$s1点。,耐力提高$s1点。
12040,,使施法者被一层由暗影魔法编织而成的护盾所包围。该护盾存在$d，可以吸收物理或魔法伤害，并会对近战攻击者造成暗影伤害。,"吸收物理和魔法伤害。
对近战攻击者造成暗影伤害。"
12042,,激活之后，你的法术会造成$s1%的额外伤害，但同时也要消耗$s2%的额外法力才能施放。这个效果可以持续$D。,你的法术可以造成更高伤害，但是需要消耗更多法力值才能施放。
12043,,激活之后，你的下一个施法时间低于10秒的法师法术会成为瞬发法术。,你的下一个施法时间低于10秒的法师法术会成为瞬发法术。
12051,,引导此法术时，你在$d内恢复总法力值的$o1%。,每$t1秒恢复总法力值的$s1%。
12057,,对敌人造成武器伤害再加$s1点伤害。,
12058,,向敌人射出一支闪电箭，这支闪电箭会在击中目标后继续攻击它周围最近的敌人，最多可攻击$x1个目标，每次击中都会造成更高的自然伤害。,
12096,,使敌人因为极度的恐惧而奔逃，最多持续$d。在同一时间内，只有1个敌人会被你的恐惧术影响。,因恐惧而逃跑。
12098,,使敌人进入睡眠状态，最多持续$d。任何对目标造成伤害的行为都会唤醒它。同一时间内只能有一个目标被催眠。,沉睡。
12151,,召唤$s1个阿塔莱骷髅为施法者作战，持续$d。,
12158,,立即杀死所有爆炸范围内的单位。,
12160,,治疗一个友方目标，每$t1秒回复一次生命值。持续$d。,每$t1秒治疗一定伤害。
12161,,下一次攻击的伤害提高。,
12162,"等级 1",你的爆击导致目标流血。,
12163,"等级 1",使你的双手近战武器伤害提高$s1%。,
12166,,撕裂敌人造成普通伤害加上$s1点伤害，并使其力量降低，持续$d。,力量降低$s2点。
12711,"等级 2",使你的双手近战武器伤害提高$s1%。,
12169,,使你的格档几率提高$s1%，效果持续$d。最多只能格档$n次攻击。,格挡几率提高$s1%。
12170,,立即反击敌人，对其造成$s1点伤害。复仇只有在成功格挡、躲闪或招架之后才能使用。,
12174,"等级 4",使目标的敏捷提高$s1点，持续$d。,敏捷提高$s1点。
12175,"等级 4",使目标的护甲提高$s1点，持续$d。,护甲提高$s1点。
12177,"等级 4",使目标的精神提高$s1点，持续$d。,精神提高$s1点。
12178,"等级 4",使目标的耐力提高$s1点，持续$d。,耐力提高$s1点。
12179,"等级 4",使目标的力量提高$s1点，持续$d。,力量提高$s1点。
12180,专家级,使裁缝可以制造专家级的衬衣和布甲，技能上限为300点。,
12189,,在埃其亚基的巢穴附近吹响。,
12199,,放置在枯树附近。,
12245,,受到的物理伤害提高，持续$d。,受到物理攻击时所承受的伤害提高$s1点。
12248,,受到敌人的任何类型攻击时所承受的伤害都提高$s1%，持续$d。,受到物理和魔法攻击时所承受的伤害提高$s1%。
12250,,召唤$s1个小软泥怪为施法者作战，持续$d。,
12251,,每$t1秒受到一次自然伤害。持续$d。,每$t1秒受到一次自然伤害。
12253,,对永恒之火使用。,
12255,,使附近敌人的施法速度降低$s1%，攻击间隔延长$s2%，持续$d。,"施法速度降低$s1%。
攻击间隔延长$s2%。"
12257,,每$m1秒对你面前的所有敌人造成$12278s1点火焰伤害，持续$d1。另外还会让你醉得一塌糊涂！,
12258,,召唤一个骷髅暗影法师。,
12281,"等级 1",使你在用剑类武器击中敌人后有$h%的几率对同一目标进行一次额外的攻击。这个效果每$proccooldown秒只能触发一次。,
12282,"等级 1",使你的英勇打击技能所消耗的怒气值减少$/10;s1点。,
12283,,在艾萨拉的直升机平台上使用。它将会召唤驾驶员西格斯·熔光赶来接收石板拓文。,
12284,"等级 1",你用锤类武器攻击目标时忽略目标$s1%的护甲值。,
12285,"等级 1",使你的冲锋技能积攒的怒气值提高$/10;12695s1点。,
12286,"等级 1",使你的撕裂技能造成的流血伤害提高$s1%。,
12287,"等级 1",使你的雷霆一击技能所消耗的怒气值减少$/10;s1点，伤害提高$s2%，减速效果提高$/10;s3%。,
12289,"等级 1",使你的断筋技能有$h%的几率令目标无法移动，持续$23694d。,
12290,"等级 1",使你的压制技能造成爆击的几率提高$s1%。,
12292,,激活之后进入激怒状态，使你造成的物理伤害提高$s1%，但是受到任何攻击时所承受的伤害都提高$s3%。持续$d。,物理伤害能力提高$s1%。受到任何攻击时所承受的伤害都提高$s3%。
12294,"等级 1",一次邪恶的攻击，对目标造成武器伤害外加$s2点伤害，并使任何形式的治疗对其产生的效果降低$s1%，持续$d。,治疗效果降低$s1%。
12295,"等级 1",在改变姿态的时候可以保留的怒气值上限提高$s1点，同时极大提高你在防御姿态下使用嗜血和致死打击技能所造成的威胁值。,
12296,,每3秒获得1点怒气值。,
12297,"等级 1",使你的躲闪几率提高$s1%。,
12298,"等级 1",使你用盾牌格挡攻击的几率提高$s1%，在成功格档、躲闪或招架后有$h%的几率得到$/10;23602s1点怒气。,
12299,"等级 1",使你因装备而获得的护甲值提高$s1%，所有移动限制效果的持续时间缩短$s2%。,
12300,"等级 1",使所有对你施加的昏迷和魅惑效果的持续时间缩短$s1%。,
